year,round,win1,win2,win3,win4,win5,win6,bonus,sum
2003,20,10,14,18,20,23,30,41,115
2003,19,6,30,38,39,40,43,26,196
2003,18,3,12,13,19,32,35,29,114
2003,17,3,4,9,17,32,37,1,102
2003,16,6,7,24,37,38,40,33,152
2003,15,3,4,16,30,31,37,13,121
2003,14,2,6,12,31,33,40,15,124
2003,13,22,23,25,37,38,42,26,187
2003,12,2,11,21,25,39,45,44,143
2003,11,1,7,36,37,41,42,14,164
2003,10,9,25,30,33,41,44,6,182
2003,9,2,4,16,17,36,39,14,114
2003,8,8,19,25,34,37,39,9,162
2003,7,2,9,16,25,26,40,42,118
2003,6,14,15,26,27,40,42,34,164
2003,5,16,24,29,40,41,42,3,192
2002,4,14,27,30,31,40,42,2,184
2002,3,11,16,19,21,27,31,30,125
2002,2,9,13,21,25,32,42,2,142
2002,1,10,23,29,33,37,40,16,172
